grace_sku,body_id,neck_finish,shape
GBCyl9MtlRollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCyl9MtlRollWht,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollBlkDot,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollPnkDot,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCyl9RollWht,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryBlk,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryGl,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryMattSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryRd,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryShSl,Cyl-round-17-415-70x20,17-415,round
GBCyl9SpryTur,Cyl-round-17-415-70x20,17-415,round
LBCylBlu9LtnBlk,Cyl-round-17-415-70x20,17-415,round
LBCylBlu9LtnGl,Cyl-round-17-415-70x20,17-415,round
LBCylBlu9LtnMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollBlkDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollPnkDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9MtlRollWht,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollBlkDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollMattCu,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollMattGl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollPnkDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollShBlk,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollShnGl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollShnSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollSlDot,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9RollWht,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryBlk,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryGl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryMattSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryRd,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryShSl,Cyl-round-17-415-70x20,17-415,round
GBCylBlu9SpryTur,Cyl-round-17-415-70x20,17-415,round
LBCylFrst9LtnBlk,Cyl-round-17-415-74x20,17-415,round
LBCylFrst9LtnGl,Cyl-round-17-415-74x20,17-415,round
LBCylFrst9LtnMtSl,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9SpryBlk,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9SpryGl,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9SpryMattSl,Cyl-round-17-415-74x20,17-415,round
GBCylFrst9SpryRd,Cyl-round-17-415-74x20,17-415,round
