graceSku,itemName,field,convex,master_v83
CMP-ROC-SLV-13415-DOT,"Silver cap with dots or closure for rollon bottles, Threadsi",category,Component,Roll-On Cap
LB-DVA-CLR-46ML-LPM-CPR,"Diva design 46 ml, 1.64oz clear glass bottle with matte copp",category,Glass Bottle,Lotion Bottle
LB-ELG-CLR-100ML-LPM-CPR,"Elegant design 100 ml, 3 1/2oz clear glass bottle with matte",category,Glass Bottle,Lotion Bottle
GB-CYL-CLR-6ML-ROL-SLDT,"Tulip design 6ml, 1/5oz Clear glass bottle with plastic roll",family,Tulip,Cylinder
LB-CYL-CLR-9ML-T-03,"Cylinder design 9ml,1/3 oz clear glass bottle with treatment",category,Glass Bottle,Lotion Bottle
GB-DVA-CLR-100ML-ASP-IVSL,"Diva design 100 ml, 3 1/2oz  clear glass bottle  with ivory ",capColor,Ivory,Ivory Silver
GB-DVA-CLR-100ML-SPR-SGLD,"Diva design 100 ml, 3 1/2oz  clear glass bottle  with shiny ",capStyle,Spray,Screw Cap
PKG-BOX-BWIN-GRN,Green Brush design folding carton box with window. Size 1.5\,category,Packaging,Other
LB-LTB-CLR-30ML-T,"Silver metal shell and metal cap, refillable lotion bottle 1",category,Glass Bottle,Lotion Bottle
GB-CYL-AMB-5ML-ROL-MGLD,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",family,Tulip,Cylinder
GB-CYL-CLR-9ML-ROL-MSLV-02,"Tall cylinder design 9ml, 1/3oz Clear glass bottle with plas",capStyle,Tall,Roll-On
GB-CYL-CLR-6ML-MRL-MGLD,"Tulip design 6ml, 1/5oz Clear glass bottle with metal roller",family,Tulip,Cylinder
GB-CYL-AMB-5ML-ROL-PKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",family,Tulip,Cylinder
GB-CYL-AMB-5ML-ROL-PKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",diameter,23 ±0.5 mm,17 ±0.5 mm
GB-CYL-AMB-5ML-ROL-PKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",heightWithCap,57 ±1 mm,72 ±1 mm
GB-CYL-AMB-5ML-ROL-PKDT,"Tulip design 5ml, 1/6 oz Amber glass bottle with plastic rol",heightWithoutCap,45 ±0.5 mm,61 ±1 mm
GB-RCT-CLR-10ML-ROL-PKDT-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Dot Cap
ACC-ORG-LVN-5X8,Lavender Organza / sheer gusseted gift bag. Size : 5 inches ,category,Packaging,Other
GBTallCyl9WhtSht,Tall cylinder design 9ml Clear glass bottle with short white,family,Tall Cylinder,Cylinder
GBTallCyl9WhtSht,Tall cylinder design 9ml Clear glass bottle with short white,capStyle,Short Cap,Short
GBTallCyl9WhtSht,Tall cylinder design 9ml Clear glass bottle with short white,capColor,Short White,White
GBTallCyl9WhtSht,Tall cylinder design 9ml Clear glass bottle with short white,dataGrade,C,B — no applicator
LB-SLK-CLR-50ML-LPM-COCP-T,"Sleek design 50 ml, 1.7oz clear glass bottle with white rect",category,Glass Bottle,Lotion Bottle
LB-CYL-CLR-50ML-LPM-SSLV,"Cylinder design 50 ml, 1.7oz clear glass bottle with shiny s",category,Glass Bottle,Lotion Bottle
GB-ELG-FRS-100ML-SPR-SGLD,"Elegant design 100 ml, 3 1/2oz frosted glass bottle with shi",capStyle,Spray,Screw Cap
LB-SLK-CLR-50ML-LPM-SGLD,"Sleek design 50 ml, 1.7oz clear glass bottle with shiny gold",category,Glass Bottle,Lotion Bottle
GB-EMP-CLR-50ML-RDC-PKLT,"Empire design 50 ml, 1.7oz  clear glass bottle  with reducer",diameter,37 ±0.5 mm,72 ±1 mm
GB-RCT-CLR-10ML-SPR-SSLV-02,"Tall rectangular design 10ml, 1/3oz Clear glass bottle with ",capStyle,Tall,Spray
LB-DVA-CLR-46ML-LPM-SSLV,"Diva design 46 ml, 1.64oz clear glass bottle with shiny silv",category,Glass Bottle,Lotion Bottle
CJ-JAR-AMB-40ML-01,"Glass, cream jar style 40 ml amber bottle with black cap. Fo",category,Glass Jar,Cream Jar
