environment,family,sku,body,capacity,neck,glass,fitment,finish,visible,candidate,component,issue,sellable,stock,kit_completeness,kit_slots,kit_conflicts
live,Cylinder,GBCylBlu5RollSlMatt,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Silver,False,True,CPRoll13-415SlMt,media_unavailable,True,In Stock,capSplit,body | roller | cap,[]
live,Cylinder,GBCylAmb9MtlRollMattCu,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Matte Copper,True,True,CpRoll17-415Cu,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9SpryMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,Spry17-415MattSl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9MtlRollMattGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Matte Gold,True,True,CpRoll17-415MattGl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9SpryGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,Spry17-415Gl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9MtlRollMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Matte Silver,True,True,CpRoll17-415MattSl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9SpryShSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,False,True,Spry17-415ShnSl,media_unavailable,True,In Stock,,,[]
live,Cylinder,GBRoll28Blk,cylinder-28ml|16mm|Glass Bottle,28,16mm,Clear,Plastic Roller Ball,Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCylAmb9MtlRollPnkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Pink Dotted,True,True,CpRoll17-415PnkDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9SpryRd,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCylAmb9MtlRollShBlk,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Shiny Black,True,True,CpRoll17-415ShnBlk,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCyl9SpryTur,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,Spry17-415Tur,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9MtlRollShnGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Shiny Gold,True,True,CpRoll17-415ShnGl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylAmb9SpryGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Gold,True,True,Spry17-415Gl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9MtlRollShnSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Shiny Silver,True,True,CpRoll17-415ShnSl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylAmb9SpryMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Matte Silver,True,True,Spry17-415MattSl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl50RollBlk,cylinder-50ml|16mm|Glass Bottle,50,16mm,Clear,Plastic Roller Ball,Black,False,False,,compatibility_unresolved,True,In Stock,,,[]
live,Cylinder,GBCylAmb9MtlRollSlDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Metal Roller Ball,Silver Dotted,True,True,CpRoll17-415SlDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylAmb9SpryShSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Shiny Silver,True,True,Spry17-415ShnSl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9SpryTur,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Turquoise,True,True,Spry17-415Tur,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCylAmb9SpryRd,cylinder-9ml|17-415|Glass Bottle,9,17-415,Amber,Fine Mist Sprayer,Red,True,True,Spry17-415Red,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl5MtlRollBlkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Clear,Metal Roller Ball,Black with Dots,True,True,CPRoll13-415BlackDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu5MtlRollBlkDot,cylinder-5ml|13-415|Glass Bottle,5,13-415,Cobalt Blue,Metal Roller Ball,Black with Dots,False,True,CPRoll13-415BlackDot,media_unavailable,True,In Stock,capSplit,body | cap,[]
live,Cylinder,GBCyl100AnSpLvn,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer,Lavender,True,True,AnSp18-415Lvn,,True,In Stock,full,body | diptube | sprayer,[]
live,Cylinder,GBCylBlu9SpryTur,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Fine Mist Sprayer,Turquoise,True,True,Spry17-415Tur,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl100AnSpPnk,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer,Pink,True,True,CP18-415AnSpPnk,,True,In Stock,full,body | diptube | sprayer,[]
live,Cylinder,GBCylBlu9SpryMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Fine Mist Sprayer,Matte Silver,True,True,Spry17-415MattSl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl100AnSpMtSl,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer,Matte Silver,True,True,AnSp18-415MtSl,,True,In Stock,full,body | sprayer | diptube,[]
live,Cylinder,GBCylBlu9MtlRollMattSl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Metal Roller Ball,Matte Silver,True,True,CpRoll17-415MattSl,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu9SpryGl,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Fine Mist Sprayer,Gold,True,True,Spry17-415Gl,,True,In Stock,full,body | sprayer | overcap | collar,[]
live,Cylinder,GBCyl100AnSpIvySl,cylinder-100ml|18-415|Glass Bottle,100,18-415,Clear,Vintage Bulb Sprayer,Ivory Silver,True,True,AnSp18-415IvySl,,True,In Stock,full,body | diptube | sprayer,[]
live,Cylinder,GBCyl9MtlRollBlkDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Clear,Metal Roller Ball,Black with Dots,True,True,CpRoll17-415BlkDot,,True,In Stock,full,roller | body | cap,[]
live,Cylinder,GBCylBlu9MtlRollSlDot,cylinder-9ml|17-415|Glass Bottle,9,17-415,Cobalt Blue,Metal Roller Ball,Silver Dotted,True,True,CpRoll17-415SlDot,,True,In Stock,full,roller | body | cap,[]
