sku,graceSku,family,capacityMl,glass,neck,fitment,finish,builderVisible,completeness,slots,flags,visualApproval
"GBCrclFrst100AnSpTslPnk","GB-CIR-FRS-100ML-ASP-04","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslRed","GB-CIR-FRS-100ML-ASP-05","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","false","","","no_published_matching_kit","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslWht","GB-CIR-FRS-100ML-ASP-06","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Frosted","true","full","body | sprayer","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrclFrst100AnSpTslMtSl","GB-CIR-FRS-100ML-AST-MSLV","Circle","100","Frosted","18-415","Vintage Bulb Sprayer with Tassel","Matte Silver","true","full","sprayer | body","dip_tube_not_separate_review_source","pending_exact_source_and_render_review"
"LBCrcl50LtnMtGl","LB-CIR-CLR-50ML-LPM-MGLD","Circle","50","Clear","18-415","Lotion Pump","Matte Gold","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50RdcrShnSl","GB-CIR-CLR-50ML-RDC-SSLV","Circle","50","Clear","18-415","Reducer","Shiny Silver","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrcl50LtnShnGl","LB-CIR-CLR-50ML-LPM-SGLD","Circle","50","Clear","18-415","Lotion Pump","Shiny Gold","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"LBCrcl50LtnShnBlk","LB-CIR-CLR-50ML-LPM-SBLK","Circle","50","Clear","18-415","Lotion Pump","Shiny Black","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50RdcrShnGl","GB-CIR-CLR-50ML-RDC-SGLD","Circle","50","Clear","18-415","Reducer","Shiny Gold","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrcl50LtnMtSl","LB-CIR-CLR-50ML-LPM-MSLV","Circle","50","Clear","18-415","Lotion Pump","Matte Silver","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50RdcrIvyLthr","GB-CIR-CLR-50ML-RDC-IVLT","Circle","50","Clear","18-415","Reducer","Ivory Leather","true","full","body | cap","","pending_exact_source_and_render_review"
"LBCrcl50LtnShnSl","LB-CIR-CLR-50ML-LPM-SSLV","Circle","50","Clear","18-415","Lotion Pump","Shiny Silver","true","full","body | diptube","mechanism_not_separate_review_source","pending_exact_source_and_render_review"
"GBCrcl50RdcrPnkLthr","GB-CIR-CLR-50ML-RDC-PKLT","Circle","50","Clear","18-415","Reducer","Pink Leather","true","full","body | cap","","pending_exact_source_and_render_review"
