sku,capacityMl,neck,glass,fitment,finish,catalogCandidate,structuralConfigurationReady,structuralBlockers,componentSku,artworkWarnings,localRecovery,stockReconciliationPending,releaseStatus
GBCyl9RollBlkDot,9,17-415,Clear,Plastic Roller Ball,Black with Dots,True,False,media_or_configuration_invalid,CpRoll17-415BlkDot,,candidate-needs-visual-review,False,not deployed
GBCylSwrl9RollBlkDot,9,17-415,Swirl,Plastic Roller Ball,Black Dotted,True,True,,CpRoll17-415BlkDot,,,False,not deployed
GBTallCyl9RollBlkDot,9,13-415,Clear,Plastic Roller Ball,Black with Dots,True,True,,CPRoll13-415BlackDot,,,False,not deployed
GBTallCylFrst9RollBlkDot,9,13-415,Frosted,Plastic Roller Ball,Black with Dots,True,True,,CPRoll13-415BlackDot,,,False,not deployed
GBCyl9MtlRollMattSl,9,17-415,Clear,Metal Roller Ball,Matte Silver,True,True,,CpRoll17-415MattSl,,,False,not deployed
GBCyl9MtlRollSlDot,9,17-415,Clear,Metal Roller Ball,Silver with Dots,True,True,,CpRoll17-415SlDot,,,False,not deployed
GBCyl9MtlRollPnkDot,9,17-415,Clear,Metal Roller Ball,Pink with Dots,True,True,,CpRoll17-415PnkDot,,,False,not deployed
GBCylBlu5RollGlSh,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Gold,True,True,,CPRoll13-415GlSh,,,False,not deployed
GBCyl9MtlRollMattGl,9,17-415,Clear,Metal Roller Ball,Matte Gold,True,True,,CpRoll17-415MattGl,,,False,not deployed
GBCylBlu5RollSlSh,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Silver,True,True,,CPRoll13-415SlSh,,,False,not deployed
GBCyl9MtlRollShnGl,9,17-415,Clear,Metal Roller Ball,Shiny Gold,True,True,,CpRoll17-415ShnGl,,,False,not deployed
GBCylBlu5RollBlkSh,5,13-415,Cobalt Blue,Plastic Roller Ball,Shiny Black,True,True,,CPRoll13-415BlkSh,,,False,not deployed
GBCyl9MtlRollShnSl,9,17-415,Clear,Metal Roller Ball,Shiny Silver,True,True,,CpRoll17-415ShnSl,,,False,not deployed
GBCylBlu5RollGlMatt,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Gold,True,True,,CPRoll13-415GlMt,,,False,not deployed
GBCyl9MtlRollMattCu,9,17-415,Clear,Metal Roller Ball,Matte Copper,True,True,,CpRoll17-415Cu,,,False,not deployed
GBCylBlu5RollPinkDot,5,13-415,Cobalt Blue,Plastic Roller Ball,Pink with Dots,True,True,,CPRoll13-415PinkDot,,,False,not deployed
GBCyl9MtlRollShBlk,9,17-415,Clear,Metal Roller Ball,Shiny Black,True,True,,CpRoll17-415ShnBlk,,,False,not deployed
GBCylBlu5RollSlDot,5,13-415,Cobalt Blue,Plastic Roller Ball,Silver with Dots,True,True,,CPRoll13-415SlDot,,,False,not deployed
GBCyl9MtlRollWht,9,17-415,Clear,Metal Roller Ball,White,True,True,,CpRoll17-415White,,,False,not deployed
GBCylBlu5RollCuMatt,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Copper,True,True,,CPRoll13-415Cu,,,False,not deployed
GBCylAmb9MtlRollWht,9,17-415,Amber,Metal Roller Ball,White,False,False,assembly_stock_unavailable,CpRoll17-415White,,,True,not deployed
GBCylBlu5RollSlMatt,5,13-415,Cobalt Blue,Plastic Roller Ball,Matte Silver,True,True,,CPRoll13-415SlMt,,,False,not deployed
GBCylAmb9MtlRollMattCu,9,17-415,Amber,Metal Roller Ball,Matte Copper,False,False,assembly_stock_unavailable,CpRoll17-415Cu,,,True,not deployed
GBCyl9SpryMattSl,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,,Spry17-415MattSl,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylAmb9MtlRollMattGl,9,17-415,Amber,Metal Roller Ball,Matte Gold,False,False,assembly_stock_unavailable,CpRoll17-415MattGl,,,True,not deployed
GBCyl9SpryGl,9,17-415,Clear,Fine Mist Sprayer,Clear,True,True,,Spry17-415Gl,missing_dip_tube,9ml Desktop native kit,False,not deployed
GBCylAmb9MtlRollMattSl,9,17-415,Amber,Metal Roller Ball,Matte Silver,False,False,assembly_stock_unavailable,CpRoll17-415MattSl,,,True,not deployed
