grace_sku,neck_finish,capacity_ml,height_mm,height_capped_mm,diameter_mm,width_mm,depth_mm,page
GBTrdpBlue,,9.0,43.0,68.0,,31.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Teardrop_Blue_glass_stopper.html
GBTRDPClear,,9.0,43.0,68.0,,31.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Teardrop_Clear_glass_stopper.html
GBTRDPGreen,,9.0,43.0,68.0,,31.0,,https_www_bestbottles_com_product_Perfume_small_Bottle_Jar_Teardrop_Green_glass_stopper.html
PB10SpryNat,,10.0,,,,,,https_www_bestbottles_com_product_Plastic_Bottle_Clear_Natural_sprayer_10ml.html
PB1ozSpryNat,13-415,30.0,,82.0,,,,https_www_bestbottles_com_product_Plastic_Bottle_container_Clear_Natural_sprayer_1oz.html
RecloseableBags3x4,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_Bag_Clear_3x4.html
RecloseableBags12x15,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_12x15.html
RecloseableBags3x3,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_3x3.html
RecloseableBags4X5,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_4x5.html
RecloseableBags4X6,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_4x6.html
RecloseableBags4X8,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_4x8.html
RecloseableBags6x10,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_6x10.html
RecloseableBags2x10,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_Incense_2x10.html
RecloseableBags2x12,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_Incense_2x12.html
RecloseableBags3x12,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_Reclosable_bag_Clear_Incense_3x12.html
PB1ozClearcap,13-415,30.0,68.0,85.0,,28.0,,https_www_bestbottles_com_product_Plastic_bottle_container_clear_Clear_cap_1oz.html
PB1ozSprySl,13-415,30.0,,,,,,https_www_bestbottles_com_product_Plastic_bottle_container_clear_Silver_sprayer_1oz.html
RecloseableBags4x12,,0.0,,,,,,https_www_bestbottles_com_product_Plastic_reclosable_Bag_Clear_4x12.html
GBMtlCylGl,,14.0,64.0,92.0,,32.0,,https_www_bestbottles_com_product_Royal_Cylindrical_decorative_Perfume_bottle_Gold_Metal_decoration_crystal_top_14ml.html
GBSpry3mlClBlk,,3.0,37.0,54.0,14.0,,,https_www_bestbottles_com_product_Sample_Promotional_Decant_Spray_clear_glass_vial_Black_Sprayer_3ml.html
GBSpry4mlClBlk,,4.0,49.0,67.0,14.0,,,https_www_bestbottles_com_product_Sample_Promotional_Decant_Spray_clear_glass_vial_Black_Sprayer_4ml.html
GBSpry3mlClWht,,3.0,37.0,54.0,14.0,,,https_www_bestbottles_com_product_Sample_Promotional_Decant_Spray_clear_glass_vial_White_Sprayer_3ml.html
13-415CpBlkShShtMtl,13-415,0.0,,17.0,17.0,,,https_www_bestbottles_com_product_Short_Caps_lids_top_bottle_shiny_black_Color_13_415.html
GBMtlMrblSmall,,5.0,66.0,87.0,,26.0,,https_www_bestbottles_com_product_Small_decorative_Perfume_bottle_marble_decoration_crystal_top.html
GBMtlMrblLarge,,10.0,80.0,102.0,,28.0,,https_www_bestbottles_com_product_Small_decorative_Perfume_bottle_marble_decoration_crystal_top_15ml.html
VBagBlack4x5,,0.0,,,,,,https_www_bestbottles_com_product_Small_velveteen_Black_gift_bag_pouch_4x5.html
