websiteSku,graceSku,family,capacityMl,neckThreadSize,applicator,category,color,capColor,capStyle,productUrl,retired
GBCylBlu5Gl,GB-CYL-BLU-5ML-GLD-T,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Regular Shiny Gold,,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-gold-cap,False
GBCylBlu5GlMattSht,GB-CYL-BLU-5ML-MGLD-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Matte Gold,,,False
GBCylBlu5GlSht,GB-CYL-BLU-5ML-SGLD-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Shiny Gold,,,False
GBCylBlu5MtlRollBlkDot,GB-CYL-BLU-5ML-MRL-BKDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Black with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-black-shiny-cap-with-dots,False
GBCylBlu5MtlRollBlkSh,GB-CYL-BLU-5ML-MRL-SBLK,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Shiny Black,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-black-shiny-cap,False
GBCylBlu5MtlRollCuMatt,GB-CYL-BLU-5ML-MRL-MCPR,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Matte Copper,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-copper-cap,False
GBCylBlu5MtlRollGlMatt,GB-CYL-BLU-5ML-MRL-MGLD,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Matte Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-gold-cap,False
GBCylBlu5MtlRollGlSh,GB-CYL-BLU-5ML-MRL-SGLD,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-gold-cap,False
GBCylBlu5MtlRollPinkDot,GB-CYL-BLU-5ML-MRL-PKDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Pink with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-pink-cap-with-dots,False
GBCylBlu5MtlRollSlDot,GB-CYL-BLU-5ML-MRL-SLDT,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Silver with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-silver-cap-with-dots,False
GBCylBlu5MtlRollSlMatt,GB-CYL-BLU-5ML-MRL-MSLV,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Matte Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-matte-silver-cap,False
GBCylBlu5MtlRollSlSh,GB-CYL-BLU-5ML-MRL-SSLV,Cylinder,5.0,13-415,Metal Roller Ball,Glass Bottle,Cobalt Blue,Shiny Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-metal-roller-ball-plug-shiny-silver-cap,False
GBCylBlu5RollBlkDot,GB-CYL-BLU-5ML-ROL-BKDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Black with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-black-shiny-cap-with-dots,False
GBCylBlu5RollBlkSh,GB-CYL-BLU-5ML-ROL-SBLK,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Shiny Black,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-black-shiny-cap,False
GBCylBlu5RollCuMatt,GB-CYL-BLU-5ML-ROL-MCPR,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Matte Copper,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-matte-copper-cap,False
GBCylBlu5RollGlMatt,GB-CYL-BLU-5ML-ROL-MGLD,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Matte Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-matte-gold-cap,False
GBCylBlu5RollGlSh,GB-CYL-BLU-5ML-ROL-SGLD,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Shiny Gold,Screw Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-shiny-gold-cap,False
GBCylBlu5RollPinkDot,GB-CYL-BLU-5ML-ROL-PKDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Pink with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-pink-cap-with-dots,False
GBCylBlu5RollSlDot,GB-CYL-BLU-5ML-ROL-SLDT,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Silver with Dots,Dot Cap,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-silver-cap-with-dots,False
GBCylBlu5RollSlMatt,GB-CYL-BLU-5ML-ROL-MSLV,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Matte Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-matte-silver-cap,False
GBCylBlu5RollSlSh,GB-CYL-BLU-5ML-ROL-SSLV,Cylinder,5.0,13-415,Plastic Roller Ball,Glass Bottle,Cobalt Blue,Shiny Silver,Roll-On,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-plastic-roller-ball-plug-shiny-silver-cap,False
GBCylBlu5Sl,GB-CYL-BLU-5ML-SLV-T,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Regular Shiny Silver,,https://www.bestbottles.com/product/cylinder-design-5-ml-blue-glass-bottle-shiny-silver-cap,False
GBCylBlu5SlMattSht,GB-CYL-BLU-5ML-MSLV-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Matte Silver,,,False
GBCylBlu5SlSht,GB-CYL-BLU-5ML-SSLV-S,Cylinder,5.0,13-415,Cap/Closure,Glass Bottle,Cobalt Blue,Short Shiny Silver,,,False
